110,Market Grading Preparation,Marketing,"Preparing agricultural produce according to quality categories required by buyers or markets before sale.","The farmer separated the crop according to market quality.;Produce was organized into different quality groups.;The farmer prepared different grades for buyers.;The harvested crop was classified before selling.","crops|harvesting"
111,Crop Rotation Planning,Cropping System,"Planning the sequence of different crops grown on the same land across successive growing seasons to improve soil health and reduce production problems.","The farmer planned different crops for different seasons.;The next crop was selected based on the previous crop.;The farmer planned a crop rotation schedule.;Different crops were arranged across growing seasons.","crop_rotation|crops|soil"
112,Cover Cropping,Soil Management,"Growing crops primarily to cover and protect the soil between or alongside periods of main crop production.","The farmer planted a cover crop to protect the soil.;The field was covered with a growing crop between seasons.;Cover crops were used to protect the land.;The farmer grew plants mainly to cover the soil.","crops|soil"
113,Soil Moisture Conservation,Soil Management,"Using suitable field practices to retain moisture in the soil and reduce water loss during crop production.","The farmer conserved moisture in the soil.;The field was managed to reduce water loss.;Soil moisture was protected during dry conditions.;The farmer used practices to keep water in the soil.","soil|water|mulching"
114,Soil Erosion Control,Soil Management,"Using agricultural practices to reduce the removal of fertile topsoil by water, wind, or other forces.","The farmer protected the field from soil erosion.;The soil was protected during heavy rainfall.;The farmer used practices to prevent soil loss.;Topsoil was protected from being washed away.","soil|water|rainfall"
115,Wind Erosion Control,Soil Management,"Using suitable land and crop management practices to reduce the loss of soil caused by strong winds.","The farmer protected the soil from strong winds.;Wind was causing soil to move away from the field.;The farmer used crops to protect exposed soil.;Soil loss from wind was reduced.","soil|crops|weather"
116,Organic Matter Management,Soil Management,"Maintaining or increasing organic matter in agricultural soil through practices such as composting, residue management, and organic inputs.","The farmer increased organic matter in the soil.;Organic material was added to improve the field.;Crop residues were used to improve soil condition.;The farmer managed organic matter for soil health.","soil|compost|crops"
117,Soil Fertility Management,Soil Management,"Maintaining and improving the ability of soil to supply essential nutrients and suitable conditions for healthy crop growth.","The farmer improved soil fertility before planting.;The soil was managed to support crop growth.;Nutrients were added to improve the field.;The farmer maintained fertile soil for cultivation.","soil|fertilizer|compost"
118,Soil pH Management,Soil Management,"Managing soil acidity or alkalinity to maintain a soil condition suitable for the growth of the intended crop.","The farmer managed the acidity of the soil.;The soil condition was adjusted before planting.;The farmer checked the soil and improved its condition.;Soil pH was managed for better crop growth.","soil|fertilizer"
119,Organic Fertilizer Application,Crop Nutrition,"Applying fertilizers derived from organic materials to supply nutrients and improve soil condition for crop production.","The farmer applied organic fertilizer to the field.;Organic nutrients were added to the soil.;The crop received fertilizer made from organic material.;The farmer used organic fertilizer instead of relying only on chemical inputs.","organic|fertilizer|soil"
120,Biofertilizer Application,Crop Nutrition,"Applying preparations containing beneficial microorganisms that can help improve nutrient availability and support crop growth.","The farmer applied biofertilizer before planting.;Beneficial microorganisms were added to the crop system.;The farmer used biological fertilizer to support plant growth.;Biofertilizer was applied to improve nutrient availability.","fertilizer|crops|soil"

121,Water Table Management,Water Management,"Managing the level of groundwater available to crops so that plants receive sufficient water without creating excessive soil moisture.","The farmer monitored the groundwater level.;The water table was managed for crop growth.;The farmer checked underground water availability.;Water levels were monitored before irrigation.","water|soil|irrigation"
122,Groundwater Use,Water Management,"Using groundwater from wells or other underground sources to provide water for agricultural activities when surface water is insufficient.","The farmer used groundwater to irrigate the field.;Water was pumped from underground for the crops.;The farm depended on groundwater during dry conditions.;The farmer used a well to supply irrigation water.","water|irrigation|drought"
123,Water Pumping,Water Management,"Moving water from a source such as a pond, well, or other water body to an agricultural field using a pump.","The farmer pumped water into the field.;Water was moved from the pond to the crops.;The farmer used a pump for irrigation.;Water was pumped to supply the field.","water|irrigation|pond"
124,Canal Irrigation,Water Management,"Supplying agricultural fields with water through canals or channels that transport water from a larger water source.","The farmer received water through an irrigation canal.;Water flowed through the canal to the field.;The field was irrigated using canal water.;The farmer used canal water for crop production.","irrigation|water|crops"
125,Field Water Distribution,Water Management,"Distributing available irrigation water across different parts of a field so that crops receive suitable amounts of water.","The farmer distributed water across the field.;Water was directed to different crop rows.;The irrigation water reached all parts of the field.;The farmer managed water distribution between crops.","irrigation|water|crops"
126,Waterlogging Management,Water Management,"Managing excessive accumulation of water in agricultural soil to protect crops and maintain suitable root conditions.","The field was affected by excess water.;The farmer managed waterlogging after heavy rainfall.;Excess water was removed from the crop field.;The crops were protected from standing water.","water|flood|soil"
127,Drought Management,Crop Management,"Using suitable agricultural practices to reduce crop damage and maintain production during periods of insufficient rainfall or water availability.","The farmer managed the crop during drought.;Water was conserved during the dry period.;The farmer protected crops from water shortage.;The field was managed during a prolonged dry spell.","drought|water|crops"
128,Flood Damage Management,Crop Management,"Managing crop fields after flooding to reduce damage, remove excess water, and support recovery of affected crops.","The farmer managed the field after flooding.;Flood water was removed from the crop area.;The farmer assessed crop damage after heavy rain.;The field was restored after flooding.","flood|water|crops"
129,Weather Monitoring,Crop Management,"Monitoring weather conditions such as rainfall, temperature, and other changes to support agricultural planning and crop management.","The farmer checked the weather before irrigation.;Weather conditions were monitored during cultivation.;The farmer watched the rainfall forecast.;Weather information helped the farmer plan field activities.","weather|rainfall|temperature"
130,Rainfall Monitoring,Water Management,"Observing rainfall patterns and amounts to help farmers plan irrigation, planting, and other agricultural activities.","The farmer monitored rainfall before watering the crop.;Rainfall was checked during the growing season.;The farmer observed how much rain had fallen.;Rain information helped determine irrigation needs.","rainfall|water|weather"
131,Temperature Monitoring,Crop Management,"Monitoring temperature conditions because excessive heat or cold can influence crop growth, development, and productivity.","The farmer monitored the temperature of the crop area.;Temperature was checked during the growing season.;The farmer watched for excessive heat.;Temperature information helped manage the crop.","temperature|weather|crops"
132,Drought Early Warning,Crop Management,"Monitoring rainfall, soil moisture, and weather conditions to identify increasing drought risk before severe crop damage occurs.","The farmer monitored signs of drought.;Low rainfall indicated a possible dry period.;The farmer prepared the field for water shortage.;Early drought conditions were detected before crops were severely affected.","drought|rainfall|water"
133,Frost Protection,Crop Protection,"Protecting temperature-sensitive crops from damage caused by very low temperatures or frost.","The farmer protected the crop from cold weather.;Plants were protected during a cold night.;The farmer took measures to reduce cold damage.;The crop was protected from low temperature.","temperature|weather|crops"
134,Heat Stress Management,Crop Management,"Using suitable practices to reduce crop damage caused by excessively high temperatures and heat conditions.","The farmer protected crops during extreme heat.;Water was supplied to reduce heat stress.;The crop was monitored during hot weather.;The farmer protected plants from excessive temperature.","temperature|water|crops"
135,Wind Protection,Crop Protection,"Protecting crops from damage caused by strong winds through suitable field and crop management practices.","The farmer protected the crop from strong winds.;Plants were supported during windy conditions.;The field was protected from wind damage.;The farmer reduced the effect of strong wind on crops.","weather|crops|planting"
136,Storm Damage Management,Crop Protection,"Managing agricultural fields and crops after severe storms to assess damage and support recovery.","The farmer checked the crops after a storm.;The field was inspected for storm damage.;Damaged plants were managed after severe weather.;The farmer assessed the crop after strong winds and rain.","weather|rainfall|crops"
137,Plant Support Management,Crop Management,"Providing physical support to crops that may bend, break, or fall because of plant structure, fruit weight, or environmental conditions.","The farmer supported the growing plants.;The crop needed support during growth.;Plants were kept upright to prevent damage.;The farmer provided support to weak plants.","planting|crops"
138,Canopy Management,Crop Management,"Managing the arrangement and density of leaves and branches to improve light penetration, airflow, and crop growth.","The farmer managed the crop canopy.;Excess leaves were managed to improve airflow.;The plants were arranged to receive better sunlight.;The farmer maintained a suitable canopy for healthy growth.","crops|sunlight"
139,Pruning,Crop Management,"Removing selected branches, shoots, or plant parts to control plant shape, improve light and airflow, and support healthy growth or production.","The farmer pruned the plants during growth.;Unwanted branches were removed.;The farmer trimmed the crop to improve growth.;Selected plant parts were removed to maintain the plant.","crops|planting"
140,Training Plants,Crop Management,"Guiding the growth of plants into a desired shape or direction using suitable supports or management practices.","The farmer trained the plants along supports.;The crop was guided to grow in the desired direction.;The farmer arranged the growing branches.;Plants were trained to improve their growth pattern.","planting|crops"
141,Flowering Monitoring,Crop Monitoring,"Observing the flowering stage of crops to assess plant development and identify conditions that may affect fruit or seed formation.","The farmer monitored flowering in the crop.;The plants were checked when flowers appeared.;The farmer observed the flowering stage.;Flower development was monitored during crop growth.","crops|planting"
142,Fruit Development Monitoring,Crop Monitoring,"Observing fruit formation and development to assess crop growth, health, and readiness for later harvesting.","The farmer monitored fruit development.;The growing fruits were checked regularly.;The farmer observed the size and development of the fruits.;Fruit growth was monitored before harvest.","fruit|crops|harvesting"
143,Seed Production,Crop Production,"Managing crops specifically to produce healthy and viable seeds for future planting or agricultural use.","The farmer grew crops for seed production.;Healthy seeds were collected from selected plants.;The crop was managed to produce good quality seed.;The farmer preserved plants intended for seed production.","seed|crops|harvesting"
144,Seed Harvesting,Seed Management,"Collecting mature seeds from suitable plants and preparing them for storage, processing, or future planting.","The farmer collected mature seeds.;Seeds were harvested from the crop.;The farmer gathered seeds for the next season.;Mature seed was collected after the crop developed fully.","seed|harvesting|crops"
145,Seed Cleaning,Seed Management,"Removing unwanted material, damaged seeds, and debris from harvested seed before storage or planting.","The farmer cleaned the seeds after harvest.;Damaged seeds were removed.;The seeds were cleaned before storage.;Unwanted material was separated from the seed.","seed|harvesting|crops"
146,Seed Sorting,Seed Management,"Separating seeds according to quality, size, maturity, or other characteristics to obtain suitable seed for planting.","The farmer sorted the seeds before planting.;Poor-quality seeds were separated.;The farmer selected suitable seeds for cultivation.;Seeds were divided according to quality.","seed|crops|planting"
147,Seed Drying,Seed Management,"Reducing moisture in harvested seeds under suitable conditions before storage to maintain seed quality and reduce deterioration.","The farmer dried the seeds before storing them.;Seeds were dried after collection.;The farmer reduced moisture in the seed.;The seeds were prepared for storage by drying.","seed|sunlight|water"
148,Seed Germination Testing,Seed Management,"Testing whether stored or selected seeds can germinate successfully before they are used for crop establishment.","The farmer tested the seeds before planting.;Seed germination was checked before sowing.;The farmer checked whether the seeds would grow.;Seeds with poor germination were avoided.","seed|planting|crops"
149,Plant Population Management,Crop Management,"Maintaining an appropriate number and distribution of plants in a field to support efficient use of available resources and good crop development.","The farmer maintained the required plant population.;The field had too many plants in some areas.;Plant numbers were adjusted after establishment.;The farmer managed crop density across the field.","planting|crops"
150,Crop Stand Assessment,Crop Monitoring,"Assessing the condition, density, and uniformity of established plants in a field to identify gaps, weak areas, or poor crop establishment.","The farmer checked the crop stand after planting.;The field was inspected for missing plants.;The farmer assessed whether the crop had established uniformly.;Weak areas of the field were identified.","crops|planting|soil"
151,Crop Yield Estimation,Crop Monitoring,"Estimating the expected quantity of agricultural produce that a crop may produce based on crop condition, growth, field area, and other production factors.","The farmer estimated the expected crop yield.;The expected production was calculated before harvest.;The farmer assessed how much grain the field might produce.;Crop yield was estimated before harvesting.","crops|harvesting"
152,Crop Yield Monitoring,Crop Monitoring,"Monitoring the expected and developing production of a crop throughout the growing season to identify changes in crop performance.","The farmer monitored crop yield during the season.;Crop production was checked as the plants developed.;The farmer observed whether the crop was producing normally.;The expected harvest was monitored throughout cultivation.","crops|harvesting"
153,Crop Health Assessment,Crop Monitoring,"Assessing the overall health and condition of growing crops by observing plant growth, appearance, damage, and environmental conditions.","The farmer checked the health of the crops.;The plants were inspected for signs of stress.;The farmer assessed the condition of the field.;Crop health was monitored during the growing season.","crops|weather|water"
154,Plant Stress Detection,Crop Monitoring,"Identifying signs that plants are experiencing unfavorable conditions such as insufficient water, excessive heat, pests, or nutrient problems.","The farmer noticed that the plants were under stress.;The crop showed signs of water shortage.;The plants were checked for stress caused by heat.;The farmer identified unhealthy crop conditions.","crops|water|temperature"
155,Nutrient Deficiency Detection,Crop Monitoring,"Identifying visible or growth-related signs that crops may not be receiving sufficient essential nutrients.","The farmer noticed signs of nutrient deficiency.;The crop showed poor growth after planting.;The farmer checked the plants for nutrient problems.;The crops were inspected for signs of insufficient nutrients.","crops|fertilizer|soil"
156,Water Stress Detection,Crop Monitoring,"Identifying signs that crops are receiving insufficient water or experiencing conditions that affect their ability to maintain normal growth.","The farmer noticed water stress in the crop.;The plants showed signs of insufficient water.;The field was checked during a dry period.;The farmer identified crops affected by water shortage.","crops|water|drought"
157,Pest Damage Assessment,Crop Protection,"Assessing the extent and type of damage caused by insects or other pests to determine the seriousness of a crop problem.","The farmer assessed insect damage on the leaves.;The crop was checked after a pest attack.;The farmer estimated how much damage the insects caused.;Pest damage was assessed before treatment.","insect|crops|pesticide"
158,Disease Damage Assessment,Crop Protection,"Assessing the extent of crop damage caused by plant diseases to determine appropriate management actions.","The farmer assessed disease damage in the field.;The infected plants were inspected.;The farmer checked how much of the crop was affected.;Disease damage was assessed before taking action.","crops|pesticide"
159,Weed Infestation Assessment,Crop Protection,"Assessing the amount and distribution of unwanted plants in a field to determine the need for weed management.","The farmer checked how many weeds were present.;The field was inspected for weed infestation.;The farmer assessed weed growth before removing it.;The amount of unwanted vegetation was estimated.","weed|crops"
160,Crop Damage Assessment,Crop Monitoring,"Assessing damage to crops caused by pests, diseases, weather, water problems, or other agricultural conditions.","The farmer assessed damage after heavy rain.;The crop was inspected after a pest attack.;The farmer checked how much of the field was damaged.;Crop damage was evaluated before recovery measures.","crops|weather|insect"
161,Field Inspection,Crop Monitoring,"Systematically checking agricultural fields to observe crop condition, soil condition, pests, weeds, water availability, and other factors affecting production.","The farmer inspected the field before irrigation.;The crop area was checked for pests and weeds.;The farmer regularly inspected the field.;Field conditions were examined during cultivation.","crops|soil|insect"
162,Soil Moisture Monitoring,Soil Management,"Checking the amount of moisture present in agricultural soil to help determine irrigation requirements and crop water conditions.","The farmer checked soil moisture before watering.;The soil was monitored during the dry period.;The farmer observed whether enough water remained in the soil.;Soil moisture information was used to plan irrigation.","soil|water|irrigation"
163,Soil Temperature Monitoring,Soil Management,"Monitoring the temperature of agricultural soil because it can influence seed germination, root growth, and crop establishment.","The farmer checked soil temperature before planting.;Soil temperature was monitored during seed germination.;The farmer observed whether the soil was warm enough for planting.;Soil conditions were checked before sowing.","soil|temperature|seed"
164,Soil Sampling,Soil Management,"Collecting representative soil samples from different parts of a field for testing and assessment of soil properties.","The farmer collected soil samples from the field.;Soil was taken from different areas for testing.;The farmer prepared samples before soil analysis.;Samples were collected to understand field conditions.","soil|farm"
165,Field Mapping,Precision Agriculture,"Creating or maintaining a representation of different areas of a farm to support planning and management of crops, soil, water, and other resources.","The farmer mapped different parts of the field.;The agricultural land was divided into management areas.;The farmer created a field map before planning activities.;Different crop areas were recorded on the farm map.","farm|crops|soil"
166,Precision Irrigation,Precision Agriculture,"Supplying water to specific crop areas according to their actual water requirements rather than applying the same amount everywhere.","The farmer supplied water according to crop needs.;Different parts of the field received different amounts of water.;Irrigation was adjusted for specific crop areas.;Water was applied precisely where it was needed.","irrigation|water|crops"
167,Precision Fertilization,Precision Agriculture,"Applying nutrients to specific crop areas according to soil and crop requirements to improve fertilizer efficiency and reduce unnecessary application.","The farmer applied fertilizer according to soil needs.;Different areas received different nutrient amounts.;Fertilizer was applied only where required.;The farmer adjusted fertilizer application across the field.","fertilizer|soil|crops"
168,Resource Allocation,Farm Management,"Planning and distributing available farm resources such as water, fertilizer, land, machinery, and labor according to crop requirements.","The farmer allocated water between different crops.;Farm resources were distributed according to crop needs.;The farmer planned how to use fertilizer and machinery.;Available resources were assigned to different field activities.","farm|water|fertilizer"
169,Farm Activity Planning,Farm Management,"Planning agricultural activities such as planting, irrigation, fertilization, crop protection, and harvesting according to crop requirements and available resources.","The farmer planned the activities for the season.;Planting and irrigation activities were scheduled.;The farmer organized the farm work before cultivation.;Field activities were planned according to crop requirements.","farm|planting|irrigation"
170,Seasonal Crop Planning,Farm Management,"Selecting and planning crops and agricultural activities according to seasonal conditions, expected weather, water availability, and farming objectives.","The farmer planned crops for the coming season.;The next crop was selected based on the season.;The farmer considered rainfall before choosing a crop.;Crop activities were planned for the upcoming growing period.","crops|weather|rainfall"
171,Monsoon Crop Planning,Farm Management,"Planning agricultural operations and crop choices around the expected timing and amount of seasonal monsoon rainfall.","The farmer planned planting around the monsoon.;Crop selection was based on expected rainfall.;The farmer prepared the field before the rainy season.;Monsoon rainfall was considered when planning cultivation.","rainfall|crops|planting"
172,Dry Season Farming,Farm Management,"Growing crops during periods of low rainfall by planning suitable crops, irrigation, and water management practices.","The farmer cultivated crops during the dry season.;Irrigation was used during the period of low rainfall.;The farmer selected crops suitable for dry conditions.;The field was managed carefully during the dry season.","drought|irrigation|crops"
173,Rainfed Farming,Farm Management,"Growing crops primarily using rainfall as the main source of water instead of relying mainly on irrigation systems.","The farmer depended on rainfall for the crop.;The field was cultivated using rainwater.;The farmer planted crops during the rainy season.;The crop relied mainly on natural rainfall.","rainfall|crops|water"
174,Low Water Farming,Water Management,"Selecting crops and management practices that require less irrigation when available agricultural water resources are limited.","The farmer selected crops that require less water.;Water was limited during cultivation.;The farmer reduced irrigation requirements.;Crops were managed carefully because of water scarcity.","drought|water|crops"
175,Climate-Smart Farming,Climate Management,"Using agricultural practices that improve productivity while helping farms adapt to changing weather conditions and reduce vulnerability to climate-related risks.","The farmer used practices suited to changing weather.;The farm was managed to reduce climate risks.;Crop planning considered weather changes.;The farmer adapted cultivation practices to climate conditions.","weather|crops|water"
176,Weather-Based Farm Planning,Farm Management,"Adjusting agricultural activities such as planting, irrigation, pest management, and harvesting according to current and expected weather conditions.","The farmer changed irrigation based on the weather forecast.;Planting was planned according to expected rainfall.;The farmer delayed field work because of bad weather.;Weather information guided farm activities.","weather|rainfall|irrigation"
177,Crop Selection,Crop Planning,"Selecting a suitable crop for a particular field based on soil conditions, climate, water availability, season, and farming objectives.","The farmer selected a crop suitable for the field.;Crop choice was based on soil and weather conditions.;The farmer chose what to plant for the season.;A suitable crop was selected before planting.","crops|soil|weather"
178,Variety Selection,Crop Planning,"Selecting a suitable crop variety according to characteristics such as local conditions, maturity period, productivity, and resistance to agricultural problems.","The farmer selected a suitable crop variety.;A variety adapted to the local conditions was chosen.;The farmer compared varieties before planting.;The selected variety was suitable for the farm.","seed|crops|weather"
179,Early Maturing Crop Selection,Crop Planning,"Selecting crop varieties that reach maturity in a shorter period when farmers need to complete production within a limited growing season.","The farmer selected an early-maturing variety.;A short-duration crop was chosen for the season.;The farmer selected a crop that could be harvested quickly.;An early crop was planted before the available season ended.","seed|crops|harvesting"
180,Drought-Tolerant Crop Selection,Crop Planning,"Selecting crops or varieties that can perform better under conditions of limited water availability and drought risk.","The farmer selected a drought-tolerant crop.;A crop suitable for dry conditions was chosen.;The farmer selected a variety that requires less water.;The crop was chosen because the area had limited rainfall.","drought|seed|crops"
181,Salinity Management,Soil Management,"Managing excess salts in agricultural soil to reduce their harmful effects on crop growth and maintain suitable conditions for cultivation.","The farmer managed salt accumulation in the soil.;The field had high salt levels that affected crop growth.;The farmer took steps to improve saline soil.;Soil salinity was managed before planting.","soil|water|crops"
182,Salinity Monitoring,Soil Management,"Monitoring the salt condition of agricultural soil to identify areas where excessive salinity may affect crop growth.","The farmer checked the soil for salinity.;Salt levels were monitored in the field.;The farmer identified areas affected by salt accumulation.;Soil conditions were checked before crop selection.","soil|crops|water"
183,Water Quality Management,Water Management,"Managing the quality of irrigation water so that unsuitable water does not negatively affect soil and crop growth.","The farmer checked the quality of irrigation water.;Water quality was considered before irrigation.;The farmer monitored the water used for crops.;Suitable water was selected for agricultural use.","water|irrigation|crops"
184,Water Source Assessment,Water Management,"Assessing available water sources such as ponds, wells, and other supplies before planning agricultural water use.","The farmer checked the available water sources.;The farm's water supply was assessed before planting.;The farmer inspected the pond before irrigation.;Water availability was evaluated for the crop season.","water|pond|farm"
185,Irrigation Water Requirement Assessment,Water Management,"Estimating the amount of water required by crops according to crop type, growth stage, soil condition, weather, and available water.","The farmer estimated how much water the crop needed.;Water requirements were assessed before irrigation.;The farmer planned irrigation according to crop needs.;The required amount of water was determined for the field.","water|irrigation|crops"
186,Root Zone Water Management,Water Management,"Managing water availability around the crop root zone so plants receive sufficient moisture without excessive water accumulation.","The farmer managed water around the crop roots.;Water was supplied near the root zone.;The farmer checked moisture around the roots.;Irrigation was adjusted according to root-zone conditions.","water|irrigation|soil"
187,Organic Pest Management,Crop Protection,"Managing agricultural pests using organic or naturally derived approaches while reducing reliance on conventional chemical pesticides.","The farmer used organic methods to control pests.;Pests were managed without relying only on chemical pesticides.;The farmer used natural pest-control practices.;Organic methods were used to protect the crop.","organic|insect|crops"
188,Weed Prevention,Crop Protection,"Using crop and field management practices to prevent or reduce the establishment and spread of unwanted plants before they become difficult to control.","The farmer prevented weeds from spreading.;The field was managed to reduce weed growth.;The farmer used practices to stop weeds from becoming established.;Weed growth was prevented around the crop.","weed|crops|mulching"
189,Weed Monitoring,Crop Protection,"Regularly observing agricultural fields for the presence, density, and spread of unwanted plants so that weed management can be planned.","The farmer monitored weeds in the field.;The crop area was checked for unwanted plants.;Weed growth was observed during the season.;The farmer inspected the field before deciding how to control weeds.","weed|crops"
190,Pesticide Selection,Crop Protection,"Selecting a suitable pesticide according to the target pest, crop, application requirements, and agricultural conditions.","The farmer selected a pesticide for the insect problem.;A suitable pest-control product was chosen.;The farmer identified the pest before selecting treatment.;The pesticide was selected according to the crop and pest.","pesticide|insect|crops"
191,Pesticide Safety Management,Crop Protection,"Handling and applying pesticides carefully according to appropriate safety practices to reduce risks to farmers, crops, and the surrounding environment.","The farmer handled pesticide carefully.;Protective practices were followed during pesticide application.;The farmer stored and used pesticides safely.;Pesticide safety was considered before spraying.","pesticide|farmer|crops"
192,Pesticide Application Timing,Crop Protection,"Choosing an appropriate time to apply pesticides based on pest presence, crop stage, weather conditions, and treatment requirements.","The farmer waited for the right time to spray.;Pesticide application was planned according to pest activity.;The farmer avoided spraying during unsuitable weather.;The crop was treated at an appropriate stage.","pesticide|insect|weather"
193,Pesticide Application Monitoring,Crop Protection,"Observing crops after pesticide treatment to determine whether the target pest has been reduced and whether the crop remains healthy.","The farmer checked the crop after spraying.;Pest numbers were monitored after treatment.;The farmer observed whether the pesticide worked.;The crop was inspected after pesticide application.","pesticide|insect|crops"
194,Biological Disease Management,Crop Protection,"Managing plant diseases using biological methods or beneficial organisms that can suppress disease-causing organisms and protect crops.","The farmer used biological methods against plant disease.;Beneficial organisms were used to protect the crop.;The disease was managed using a biological approach.;The farmer reduced disease using natural methods.","crops|pesticide"
195,Infected Plant Removal,Crop Protection,"Removing plants affected by serious disease or pest problems to reduce the chance of the problem spreading to healthy plants.","The farmer removed infected plants from the field.;Diseased plants were taken away from healthy crops.;The farmer cleared affected plants to prevent spread.;Infected plants were removed from the crop area.","crops|insect|weed"
196,Post-Harvest Cleaning,Post-Harvest Management,"Cleaning harvested agricultural products and their handling areas to remove dirt, residues, and unwanted material before storage or further processing.","The farmer cleaned the produce after harvesting.;The harvested crop was cleaned before storage.;The produce was cleared of dirt and plant debris.;The farmer cleaned the crop before further handling.","harvesting|water|crops"
197,Post-Harvest Sorting,Post-Harvest Management,"Separating harvested products based on quality, condition, size, maturity, or visible defects after harvesting.","The farmer sorted the produce after harvesting.;Damaged crops were separated from good produce.;The harvested vegetables were divided by quality.;The farmer sorted the crop before selling it.","harvesting|crops"
198,Post-Harvest Drying,Post-Harvest Management,"Reducing moisture in harvested agricultural products after collection to improve storage stability and reduce spoilage.","The farmer dried the crop after harvesting.;The harvested produce was dried before storage.;Moisture was reduced after the crop was collected.;The farmer prepared the harvest for storage by drying it.","harvesting|sunlight|crops"
199,Post-Harvest Storage,Post-Harvest Management,"Keeping harvested agricultural products under suitable conditions after processing or drying to preserve quality and reduce deterioration.","The farmer stored the harvested crop safely.;The produce was kept in suitable storage conditions.;The farmer protected the harvest after drying.;Harvested crops were stored for later use or sale.","crops|harvesting|insect"
200,Integrated Crop Management,Crop Management,"Combining suitable practices for soil, water, nutrients, crop establishment, pest management, weather conditions, and harvesting to improve overall crop production.","The farmer used several practices to manage the crop.;Soil, water, fertilizer, and pest management were combined.;The farmer managed the crop throughout its growth cycle.;Different farming practices were integrated to improve production.","crops|soil|water|fertilizer|insect"
